"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07"
15601,Greensburg,PA,Pittsburgh,Westmoreland,92800,92200,92200,92500,91300,89200,87100,86300,85700,85600,84900,83600,82800,84300,86900,89100,91300,93800,96500,98200,99000,99300,100300,102100,104600,104900,102100,99900,100800,100600,99700,100700,102900,103100,103700,106200,107100,104900,102300,101400,100800,101000,102200,103200,103300,103600,103200,102200,102300,104300,106700,108000,107300,105400,103700,102200,100900,100400,101200,101900,102600,103900,106000,108800,111900,115600,118700,119400,118700,118800,119100,118400,117300,116500,116900,116500,116300,115500,114300,114200,115700,117000,118300,119400,119400,119400,120200,120300,119900,121300,124000,125000,123800,122300,121200,121300,123200,124200,123500,122500,122700,122000,121300,122000,124700,127100,127300,126700,126500,126700,125800,125900,126000,126500,127300,128100,128200,129300,130100,131200,133000,133400,132600,133600,135700,136700,135800,134800,134500,134200,135400,137700,138300,139500,140700,137700,133400,132000,131800,133100,134900,134700,133700,132100,130200,129500,132000,136800,141000,142700,143600,143100,142100,143300,145300,146300,146700,146500,146200,145600,146000,147500,148000,146600,146000,146300,146200,146200,147200,148400,148500,147600,145600,143600,142600,142200,141500,140800,140200,139700,138600,136800,135600,136000,136800,137800,139800,142200,144000,145300,145100,144100,144000,145100,146700,148000,148300,147600,146700,147000,146700,145300,145400,146900,147400,147100,146600,146500,146800,147200,148100,150100,151400,151000,150500,151900,153500,153600,152900,153500,154400,153900,153300,153500,152800,152800,153200,151700,150700,152200,153700,154500
15301,Washington,PA,Pittsburgh,Washington,86000,85000,84100,83900,84300,84100,83900,84100,84300,84200,84600,85500,86300,86400,86600,87300,88200,88800,89000,89100,89000,88500,88100,88100,88000,88200,88400,88500,88900,89600,90100,90800,92600,94700,95000,93900,93200,93100,92500,91600,91700,93000,93700,93800,93500,92700,91700,91300,91400,91100,91800,92400,92200,92000,93200,93800,93800,93900,94300,95200,96600,98100,98600,97900,95900,93700,91700,90500,89300,88800,88900,89600,89300,88300,87400,86300,85500,85000,85000,85400,86900,88200,88400,87700,87800,88100,88100,88500,89700,90300,90000,89500,88500,87500,87000,86700,86600,86700,86700,87200,88400,89500,89900,90300,90500,90300,90100,90400,90600,92000,93900,95600,96100,96300,96800,97300,97800,98500,99500,100200,101300,101800,102000,100800,99800,99300,99700,99800,100000,100600,101000,101000,101000,100500,100100,100000,100300,100800,99800,97800,96600,96900,97100,97800,98600,98600,98800,100300,101300,101300,102200,105100,106700,105700,105500,106300,105000,102800,102100,102000,101500,101400,102500,103500,104200,105100,105800,106400,107400,108800,109800,110400,110700,110500,109900,109100,108900,109600,110100,108500,106600,106200,106700,106600,106300,106100,105900,106100,106300,106100,106100,107000,107500,107400,107200,107400,108100,108700,108700,108200,108600,109600,110300,109900,109700,110300,110600,110100,110100,110900,112400,114100,115600,116800,117000,118000,121100,125100,125600,126300,128800,132900,135700,136600,134200,131500,130300,131100,132200,132300,132400,132800
15237,Ross Township,PA,Pittsburgh,Allegheny,82700,83400,83700,83700,83600,83300,83000,82700,82400,82500,82900,82800,82200,81600,81200,80600,80300,80400,81200,82100,82700,83000,83300,83500,83500,83400,83100,83100,83500,83700,83800,83800,84100,84600,85200,85200,85100,85000,84900,84800,84600,84500,84600,84800,84900,85200,85400,85300,85400,86100,86800,87300,87900,88500,88700,88800,89300,90000,89900,89600,89700,90000,90700,91500,92100,92700,93500,94100,94400,94500,95200,96400,97400,98000,98200,98200,97800,97500,97600,98500,99600,100300,100700,101300,101400,101500,102000,102600,103000,103300,103400,102700,102300,102700,103500,104600,105900,107100,108300,109500,110500,111300,111800,112000,111700,111400,111500,111400,111100,111000,110600,110400,110900,111500,111900,112800,113500,113900,114300,114100,113500,112900,112300,111900,112000,112200,112300,112400,112700,112600,112600,113000,113900,114800,115800,116800,117200,117000,116700,116400,116700,117400,117500,117600,117700,117900,118000,117700,116800,116200,116400,117200,117500,117200,117000,116900,116100,115300,115300,115800,116800,117600,117900,118000,118500,118800,118800,118900,120000,121000,120800,120400,120100,120200,120200,119900,119200,119400,120000,120500,120500,120100,119600,119500,119500,119900,120500,120900,121400,121900,121800,121400,120700,120300,120700,121300,121300,120900,120600,120300,120000,120100,120800,121600,122100,122500,123000,123500,124400,125400,126100,126800,127100,126700,125600,125200,126100,127700,128900,129600,129800,129900,130000,130100,130200,130400,131000,131700,132000,132200,132200,131900
16001,Butler Township,PA,Pittsburgh,Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96500,97400,98200,98200,99500,102400,104600,106200,106500,104000,101700,101800,102700,103700,104800,105800,106000,107100,110000,113600,113900,111700,108800,108300,109700,111900,113100,114800,117200,117900,118300,120200,120900,119600,118600,118900,118200,115600,113100,113500,114200,113700,112900,112600,112100,112200,113700,115000,115800,117100,117900,118100,118700,119300,118500,117400,116900,117000,117300,118000,117900,117700,119000,121000,121500,121800,123500,126400,127200,125000,121600,118700,117600,119200,121000,121800,123300,124000,123400,121900,121900,122700,122800,122800,123000,122200,121400,121200,120500,120200,121300,123300,125100,126200,128100,130200,130900,131600,133500,134100,134400,135400,136400,136100,135300,134400,133700,134900,136100,135800,134700,134700,134400,134200,133400,133300,133400,133500,134900,137800,141300,143400,144300,144200,145000,145100,144700,144800,146100,147000,146900,145700,144500,144100,144800,146300,147400,148000,149300,149800,149200,149500,149700,148800,147700,147700,147200,145400,144300,144600,144900,143500,141700,141500,142800,143400,143200,141700,140100,139100,139800,140300,139800,139600,140000,138900,137500,136100,135600,138100,142100,145700,148900,153200,156600,158100,159800,163700,164700,163900,163700,161300,156100,153000,151000,148800,148000,148300,148800,149500,149200,148200,148500,150200,152400,153400,151300,148200
15108,Moon Township,PA,Pittsburgh,Allegheny,69600,69300,68500,68000,67600,67300,67300,67700,68200,68600,69100,69400,69700,70300,71100,71100,71200,71600,72000,72300,72400,72400,72500,72700,72700,72400,72000,71700,71500,70500,69600,69700,70300,70600,71100,72000,73100,74000,74500,75000,75300,75100,74800,74700,74800,74500,73700,72700,72100,71700,71500,71300,71700,72900,73700,73700,73600,74300,75000,75200,75500,75900,76400,76700,77100,78000,79000,79400,79600,79800,79800,79800,79700,79400,78900,78600,78700,79000,79400,79800,80300,81000,81400,81400,81700,82200,82800,83000,83000,83300,83800,84100,84300,84700,85400,86300,86800,87300,88800,90700,91700,91200,90100,89700,89900,90500,91000,90900,90300,89200,88400,88500,88700,89000,89800,91300,92000,92000,92500,94000,95800,97500,98400,98100,98000,98800,99300,99300,99200,99200,99400,99700,100700,102200,103500,104400,105200,105000,105000,106200,107000,106100,104300,102700,100900,99100,98100,98600,99400,99500,99100,98400,98700,99700,100400,100400,100200,100300,100800,101000,101200,101800,101700,100400,98500,97300,96700,97100,98300,99000,98500,97600,97000,97600,98600,99000,98700,98100,98200,98800,99100,99600,99900,99700,99500,99600,99600,99600,99400,99800,101000,101100,99800,98600,97700,96200,95200,94800,94300,94300,95900,97900,98800,98900,99300,99400,99900,100700,101100,102000,103600,105000,106000,106600,106600,107400,109600,112000,114000,115700,115300,112900,111500,112000,112800,113700,114700,115000,114900,114400,114000,114000
15068,New Kensington,PA,Pittsburgh,Westmoreland,65100,64800,63800,62800,62300,62500,62800,62900,62900,63100,62900,62100,61500,61100,60900,61100,61100,61000,61000,60800,60200,59700,59700,59800,59500,59200,59100,59000,58600,58300,58300,58400,58600,59000,59200,59100,59300,60000,60800,61300,61700,62000,62100,61900,61500,61100,60700,60600,60800,61200,61300,61200,61500,62300,63000,64100,65500,66900,68000,68400,68000,67300,66400,65000,63700,63000,62800,62700,62800,63100,63400,64000,64600,65000,65800,66900,67900,68400,68900,69100,69600,70300,70800,71200,71900,72500,72700,73100,73400,72800,72200,72400,72500,72200,72000,71800,71600,71700,72400,73800,75400,76200,76400,76300,75800,75400,75600,76200,77000,77900,78500,79300,80200,81200,82100,83000,84200,85200,85700,85600,84800,84100,84300,84600,84500,84800,85600,86100,86200,86300,86700,87100,87900,89000,89300,88200,87100,86100,85200,84900,84800,84300,83800,83700,83300,82400,81700,81700,82100,82500,82800,82800,83100,83400,83400,83000,83200,84200,84700,84300,84400,85000,85600,85700,85000,84000,83900,85200,86400,86900,86800,86400,86300,86500,86800,87100,88000,88900,89400,89500,89300,88300,87900,88200,88100,88000,88200,87900,88300,89900,91100,90700,89900,89500,89700,90600,91200,90700,89900,88700,87300,87100,87400,87100,86900,87300,87000,86500,86300,86300,86400,87500,88600,88900,88600,88500,89000,89900,90900,91800,92400,92300,92000,92100,91900,91000,90100,90300,90800,91200,91500,91800
15317,North Strabane Township,PA,Pittsburgh,Washington,92800,92200,91500,90700,90200,90200,90800,91100,91900,92500,93100,93500,94000,94400,94700,94600,94500,94900,95600,95600,95100,94400,93900,93700,93700,93200,92600,92300,92900,93800,94300,94300,94300,94400,95000,95000,94100,93900,94700,95200,95300,95300,95100,94800,94400,93700,92900,92900,93600,94300,94800,95600,96300,96600,96800,97200,97700,98600,99500,99500,99600,100500,101700,102300,102200,101700,101300,101400,101900,102500,102900,103600,103400,102400,102200,103300,104300,104500,104400,105000,106700,107900,108100,108200,109200,110300,110200,109900,110400,112100,114500,116500,117600,118900,119900,120800,121900,122500,121800,120600,120100,119500,118400,118000,118400,118200,118400,119700,121100,121800,122500,123700,125000,126000,127100,128000,128600,129400,130600,131200,131200,132200,135000,137400,138500,139400,140300,139800,138700,137900,137700,137700,138300,139500,140400,140800,140600,140700,141400,141800,141000,140200,140200,140800,140600,139800,139000,138100,136900,135000,133100,132200,131600,130600,129600,129200,128600,127600,126400,125800,126100,127100,128100,129000,130600,132200,132700,132300,133000,133500,133100,133000,133700,134200,134300,134500,134500,134600,134300,134000,134100,135000,135900,136000,135700,135800,135600,135300,135400,136100,136500,136300,135300,134500,134500,135400,136200,136500,136400,136500,137000,137700,138600,139600,140400,141200,141900,142300,143700,145400,146900,147600,148400,149400,150000,149400,148400,148400,149000,148800,147300,146100,145800,146200,146100,145700,146000,146800,146800,146600,146600,146700
15221,Wilkinsburg,PA,Pittsburgh,Allegheny,41000,40000,39100,38900,38800,38400,37800,37200,36800,36600,36600,37100,37600,37900,37900,37800,37700,37400,37200,37500,38200,38800,39300,39500,39500,39800,40100,39900,39200,39300,40200,40300,39800,39900,40000,40000,40100,40300,40600,40900,41000,41100,41100,41300,41900,41600,41100,41300,41800,41800,41600,41600,42000,42200,41600,40800,40700,41000,41000,40900,40900,41000,41100,41800,42500,42800,43300,44100,44400,44600,45200,45500,45100,44700,44600,44500,45200,46100,46400,46300,45700,45200,45100,45200,45100,45500,45900,45900,44700,43800,43600,44000,44700,45200,45000,44700,44800,45200,45500,45800,46200,46800,47500,48000,48500,49200,49800,50200,50300,50100,50100,50400,50700,51100,51600,52200,52800,53400,53700,54000,54800,55800,56000,56100,56300,56400,56300,56000,55700,55500,55700,56000,56000,55900,55500,55300,55300,55100,54800,54700,53800,52600,52000,52600,53300,53600,54200,55400,56500,57000,56600,56100,56600,57200,57300,56800,56400,56600,56800,56400,56100,56900,57700,58200,58100,57800,57600,58000,58300,58400,58600,59300,59700,59100,58700,58700,59000,59700,60600,60800,60900,60800,60700,59800,58200,57100,56700,56700,56800,57000,56500,55800,55000,54600,54300,54100,55000,56700,57900,58000,58300,58800,59200,58700,57900,57800,58100,58400,58300,57600,57400,57700,57300,56300,55600,55500,55400,55100,54500,53800,52300,51300,51000,50900,50900,51600,52400,53200,53800,53700,53600,53800
15206,Pittsburgh,PA,Pittsburgh,Allegheny,44600,43900,42900,42100,41800,41600,41300,41100,41200,41300,41300,41400,41800,42200,42600,42600,42300,42100,42000,42100,42300,42700,43000,43300,43400,43300,43300,43400,43400,43500,43600,43600,43500,43700,43600,43400,43300,43400,43800,44300,44900,45000,45100,45500,46000,46200,46400,46700,46900,47000,47000,46900,46800,46700,46800,47100,47000,46700,46800,47000,47200,47600,48000,48500,49200,50100,50900,51400,51900,51900,51900,52000,52300,52500,52300,52200,52600,52800,53100,53800,54300,54400,54600,54900,55100,55200,56000,56400,55700,55400,55300,54800,54600,54900,55300,55800,56500,57400,58200,59400,60800,62200,62600,62900,63500,64200,64400,64200,63800,63200,62400,61800,60900,60500,61000,61800,61900,62100,62600,63300,64400,65600,66600,67200,67600,67800,68300,68800,68900,68700,68400,67500,66900,66400,66000,66000,66500,66700,66400,66500,67600,68600,69100,69500,70600,71900,73100,74000,75600,76700,76300,75200,75100,75700,76800,77400,77900,78400,79400,80200,80600,81100,81900,82600,82800,82700,83200,84700,85700,85400,84800,84800,84500,84300,84500,84500,84100,83900,85000,85500,85200,84900,85000,84500,83300,82800,83400,84300,84700,85100,85100,85100,84900,84600,84500,84800,84300,83600,83300,84100,84500,84000,83800,84700,86500,87900,88100,89400,91500,94400,97400,100300,102600,104600,104600,103500,102100,101600,102300,103300,105200,106800,106700,106300,106700,107100,107600,108700,110300,111900,113200,114200
15212,Pittsburgh,PA,Pittsburgh,Allegheny,41400,40200,39300,38500,37800,37300,36900,36600,36100,35700,35700,35700,35700,35800,35900,35800,35700,35700,35900,36300,36900,37300,37700,37900,37800,37700,37800,38000,38100,38300,38400,38400,38600,38800,38700,38800,39000,39000,39100,39200,39200,39400,39600,39700,39900,40100,40200,40300,40800,41300,41500,41600,41800,41900,41800,41900,42300,42600,42600,42600,43000,43500,43700,43800,44100,44500,44900,45200,45500,45500,45600,45800,45800,45600,45500,45500,45600,45500,45400,45500,45400,45300,45300,45300,45300,45400,45800,46500,46900,47200,47500,47600,47700,47800,47900,48200,48900,49700,50200,50500,51200,51900,52400,52900,53000,53000,53200,53400,53400,53300,53500,53700,53500,53600,53700,53900,54200,55000,55300,54800,54400,54300,54100,54000,54300,54700,54900,54700,54600,55000,55800,56300,56300,56100,56500,57000,57000,56800,57000,57600,58600,59300,59800,60300,61200,61900,61900,61600,61600,61300,60800,60600,60600,60100,59700,59600,59500,59500,60300,61300,61900,62500,63200,63600,63700,63800,63500,63800,65100,66900,67600,68000,68300,68100,67800,67700,67500,66900,67200,67700,67800,67300,66700,65900,65400,65300,65500,65900,66300,66900,67300,67900,68400,68500,68000,68000,68000,67600,67100,66700,66300,66300,66600,66000,64800,64200,65000,66300,66900,67600,69200,71200,72400,73000,73000,73000,73000,73000,72600,72200,72600,73500,73800,73400,73200,73500,74100,74700,75600,76100,75900,75400
15236,Baldwin Township,PA,Pittsburgh,Allegheny,90400,91700,92800,93400,94000,94700,95700,96200,96200,96400,96600,96500,96400,97000,97300,97600,98300,99200,99500,99600,99700,100400,102100,103000,102200,100900,100400,100300,99700,99300,99400,99700,99800,99800,99900,100400,100900,99700,97800,96800,96800,96600,96300,96500,97500,98500,98500,98600,99000,99800,100700,101400,101600,101700,102600,103800,103900,104000,104900,105800,106800,108300,109500,110400,111000,111700,112500,113500,114400,115000,115300,115400,115300,115200,115300,115300,115600,116200,116400,115800,115400,115600,116200,117000,118000,119800,121400,122500,123500,124100,124400,125300,126800,127500,127100,126400,126800,127200,127500,128300,128700,128600,129100,129900,130100,130500,131400,132300,132700,132600,132100,131600,131300,131300,131100,131400,131800,131800,132200,132900,132000,131000,131000,130700,130500,131000,130900,129800,129000,129400,129900,130000,130300,130900,131700,133000,133800,134400,135000,135000,134800,134600,133500,132600,132300,131900,131500,131700,132300,132900,133300,133800,133900,133300,133300,133600,134000,134700,135900,136700,136900,136900,136700,136300,135900,136100,136000,135800,136400,136500,134900,133900,133500,132900,132100,131900,132200,132400,132600,132800,132800,132700,133200,134100,134500,134100,134500,136000,137500,138400,138800,138200,136500,134500,132900,131300,129900,128800,128100,127500,127200,127800,128900,129000,129700,132500,135800,136800,136800,136700,137000,137400,137500,137300,137400,138900,142000,145500,147600,147600,147300,148900,150700,151200,151500,151300,150900,151500,151400,149400,146600,144800
15146,Monroeville,PA,Pittsburgh,Allegheny,103400,104700,106100,107000,106700,106200,106600,107000,107600,108200,109000,110400,111900,111500,110500,110400,111200,112100,112700,112700,111900,111000,110600,110400,109500,109200,109300,109500,109400,109400,109800,110900,111900,112800,113700,114600,115600,116800,118000,118800,119300,119800,120000,120100,120400,121200,121500,121500,121500,122100,122400,122600,122600,122600,122700,122300,121100,120000,119700,119600,119700,119700,119400,119600,120400,121400,122400,123600,125100,126300,127200,128300,129700,131100,132500,133500,134500,134800,134800,135000,135300,135300,135600,136200,137200,138000,138800,139100,139100,138800,139400,140800,142400,143200,143600,142900,141300,140800,141700,142300,142300,142500,142500,142100,141700,142000,142700,143600,144600,144700,143700,143700,145300,146900,147400,148100,150300,153000,154700,156000,156600,156700,157200,157100,156700,156800,157200,156800,155600,155000,155300,156100,157100,158000,158800,158700,158100,158400,158900,157900,156200,154700,153500,151700,150200,149300,149200,149800,150300,149200,147700,148300,149200,148700,147600,147500,147900,148100,147900,148200,148300,148100,147900,147300,146400,145900,145800,146300,146700,146500,146100,145600,145400,145600,146000,146400,146900,147200,147500,148100,148100,147200,146200,145200,144100,143900,144600,144800,144500,145100,145100,143400,141100,139400,137200,135100,134400,134800,135500,136600,137500,138100,139200,140400,141500,143200,145400,147000,147700,147300,146400,146200,146700,146800,146100,146000,147600,149500,151400,153600,154900,154500,154100,154100,153700,152900,152300,151900,151700,151600,151400,151000
15227,Baldwin Township,PA,Pittsburgh,Allegheny,59100,59700,60100,60500,60800,60900,61000,60900,60900,61400,61900,61900,62000,62200,62300,62100,61800,61900,62200,62600,62700,62800,63000,62700,62200,62000,62000,61900,61900,61800,62100,62600,62900,63000,63200,63200,63100,63500,63800,64000,63900,63900,63800,63400,62800,62600,62700,62700,63100,63600,63800,63800,64100,64500,64600,64500,64600,64600,64700,64900,64900,64800,65100,65500,65600,66000,66500,66900,67200,67500,67900,68600,69400,70200,70700,71100,71400,71600,71600,71700,71700,71400,71000,70700,70700,70700,70500,70300,70000,69600,69800,70400,71000,71400,71600,71800,71800,71700,71900,72200,72300,72400,72700,72700,72600,72400,72600,72900,72800,72700,72500,72700,73400,74200,74300,74900,76500,78200,79100,79600,79400,78700,77700,76600,75500,74700,74400,73800,73100,72600,72300,72500,72800,74000,75500,76800,77700,78400,78700,78500,78000,77800,77500,76500,75900,75800,75800,76100,77300,78100,78200,78600,79400,80100,80700,80900,80600,79500,78500,78000,77600,77300,77800,78500,78200,77500,77300,77500,78000,78700,79600,80400,80200,79100,77600,76300,75700,75500,76000,77800,80400,82300,83400,83600,84200,85900,86700,85700,84500,84200,83400,81600,79000,77200,76100,75900,75800,76200,77300,79000,80900,82200,82700,83200,83800,84200,84200,83100,81500,79800,79300,79600,79600,78800,78200,78500,79800,81200,82100,82900,83100,83100,83500,83700,83700,84200,85000,85300,85200,85100,84600,84000
15102,Bethel Park,PA,Pittsburgh,Allegheny,80900,81700,81800,81300,81100,81000,81000,81600,82200,82300,82800,83500,83800,83400,83400,83800,84000,83800,83600,83800,84000,84400,84700,85300,85200,85100,85000,85400,86000,86500,86700,87100,87500,88000,88500,88700,88500,88000,87400,86700,86000,85800,85700,85700,86200,87100,87600,87800,88000,88200,88400,88600,88700,89000,89800,90400,90600,90700,90500,90200,90600,91500,92700,93900,94600,94700,94600,94400,94300,94500,94700,94700,94800,94900,94900,94900,95600,96600,97600,98700,99700,100300,100500,100800,101300,102000,102500,102600,102600,103000,103700,104200,104100,103900,104400,105700,107100,108400,110000,111800,113100,113500,113200,112700,112400,112500,112900,113100,113200,113100,113000,113000,113300,113700,114100,114700,115500,116300,116700,117000,117000,116500,115700,115100,114700,114500,114600,114700,114800,115100,115100,114700,114700,115300,116400,117300,117500,116900,116400,116300,116500,117200,118000,118200,117900,117600,117200,116500,116500,117600,118600,118800,118400,117500,117200,117400,117300,117300,117400,117400,117700,117900,117400,116900,116400,116100,116000,116500,117000,116600,115700,115500,115900,116700,117400,117700,117900,118000,118100,118500,119000,119100,118900,118600,118400,118300,118700,119000,119100,119200,119000,118500,118300,118800,120100,120100,118400,116100,114800,115100,115800,115800,115800,116300,116200,116000,115900,116900,118400,120100,121800,123200,124500,125700,126000,125700,126200,127700,129400,130600,131000,130400,129400,128700,128500,128600,128300,128000,128000,128000,127400,126700
15217,Pittsburgh,PA,Pittsburgh,Allegheny,77900,78000,79200,80400,81400,82300,82800,82800,83100,84000,84500,84800,85200,85400,85000,84100,83000,82400,82300,82200,82200,82700,83400,84200,84800,85400,85900,85600,84700,84400,84700,85100,85000,84900,84900,85100,85100,85100,85200,85800,86600,88100,89500,90500,91600,92900,93800,95000,96200,96200,95600,95600,96100,96400,96400,96600,97400,98300,98500,98400,99800,102300,104300,105600,107100,109000,110900,112500,112900,112500,112300,112900,113200,113400,114000,114600,114200,112700,112500,114000,115200,115900,116900,117700,117500,117200,118100,119500,120400,121600,123000,124000,125200,126500,128300,130800,133100,134600,135600,136300,136900,137500,137700,137600,137800,138400,139000,139200,139100,138500,137200,136600,137600,137800,136600,136500,137200,137500,137900,138500,138800,139100,139500,139800,140500,142000,143600,144900,146600,148300,148900,148300,148600,150600,152500,153600,154700,155400,154700,152400,150100,149000,147500,144500,142400,142800,144600,146100,146900,147700,149100,150500,150700,149700,149100,150000,151500,152200,152400,152400,151700,151000,151700,153100,153200,152400,152700,154600,155400,154000,151800,150100,148900,148900,148400,146900,146500,147000,148500,150400,152000,152300,152500,153400,155100,156800,158400,159600,161800,165200,168000,168400,168400,169400,171500,173400,174500,174400,172900,171600,171400,172500,173500,174800,176600,178200,179600,180900,181500,181300,183300,187100,189400,189000,187900,187800,188100,188800,189300,189500,189200,189500,190000,191200,192500,194000,196000,197900,199000,199200,198600,198100
15213,Pittsburgh,PA,Pittsburgh,Allegheny,48400,48000,47800,48000,48300,48400,48400,48400,48700,49200,49800,50100,49800,49200,48900,48300,47200,46400,46300,46600,47000,47300,47300,47300,47400,47400,47200,47400,48000,48400,48600,48700,48800,48800,48700,48600,48600,49000,49400,49400,49300,49300,49600,49900,50300,50800,51000,50800,50900,51300,51200,51200,52000,52900,53300,53400,53700,53800,53800,53900,54200,54500,54500,54300,53900,53900,54100,54400,54700,55000,55200,55500,55900,56400,57000,57800,58400,58800,59100,59700,60400,61200,61800,62400,62800,63200,64100,65100,65900,66600,67300,67400,66800,65500,65800,67700,69700,71000,71800,72300,73300,74500,75700,76900,78200,79000,79200,78900,78400,77800,77300,76700,75800,74800,73500,72200,71900,73000,74300,75100,76000,77300,78800,80500,81600,82500,83200,84000,84300,84500,84600,84100,83800,83400,82800,82300,82700,83000,83700,84800,86000,86700,87000,87700,88200,88500,88800,89600,90600,91500,92100,92400,92800,93100,93800,95100,96900,98600,99700,100200,100600,101300,101800,102000,101900,101000,100300,99900,99500,99000,98800,98500,98500,98700,99400,100100,100600,101700,103100,103100,102000,101900,103100,104400,104900,104900,104900,105000,105200,105100,104800,104900,105000,104600,103900,103700,103500,102600,101300,100400,100000,99700,99100,98400,98100,98600,99500,99600,99100,100300,103300,106400,108800,111100,112100,113100,114500,115900,117000,117900,118700,119100,119000,119200,119400,120000,121400,122700,123100,122800,122400,122000
16066,Cranberry Township,PA,Pittsburgh,Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129600,131300,131000,127600,124300,124200,126800,130500,133100,135100,137600,140500,143200,145500,144100,139300,134700,133200,133100,133400,133500,134300,135600,137100,138400,140500,141300,139500,137600,139300,141200,141400,141500,143000,144700,146800,148500,150200,150500,150600,150800,150000,148600,149000,149500,149200,150000,151200,151800,152200,152200,151400,151900,153900,157000,159200,160000,160300,160600,160000,160500,163100,165600,165800,164000,162700,162400,162300,161800,162000,163000,164600,165900,166600,167500,170100,172600,173500,172100,171300,172700,174300,173600,172800,172100,171400,170900,170100,169100,169100,170500,172800,173900,174400,175300,176700,178400,178900,178700,178900,181500,184200,186000,186800,187600,187200,186700,186100,185200,184400,183300,182200,180900,178600,176000,173900,172900,172500,171800,171200,171400,171000,169700,168800,168600,168900,169300,170100,172100,174800,176200,176000,175200,175500,176500,176500,175000,173900,173000,172200,171900,172900,175400,177000,175900,173800,172600,172500,173500,174500,174900,176000,176700,176400,176300,177300,177600,178400,179200,178600,177100,176400,176100,176700,179200,182600,185500,188300,192300,197400,204300,211000,214700,215200,215600,209700,196900,184200,176300,170900,168200,166400,164000,162000,161300,161800,163600,165400,166000,165700,164300,162500
